"HolderAddress","Balance","PendingBalanceUpdate"
"0x13bce500f21c92aed597aab2247cf27ca1116e30","44,490,523,206.808192533040903692","No"
"0x33f4668f5a9a36514d85657e699569dbda3d77f1","39,707,361,813.8394066405139118","No"
"0x674295b530a1f69a4bc217fffb7e8bcdf9971678","24,287,339,481.7323","No"
"0xa4c8d9e4ec5f2831701a81389465498b83f9457d","22,049,619,799.613831022548187467","No"
"0xed0862ea1853918ca6d0c63d17f03548343a0d6c","19,658,458,267.611929047985238097","No"
"0x8c9cfcbf44003f3c4d856c036c66a48ce3f03597","19,277,850,937.004487199045235908","No"
"0x03fb8f1750ae936a50ca0bd58388814f05a4b593","18,459,708,383.163464772228839714","No"
"0x032f84aeff59ddebc55797f321624826d873bf65","18,369,777,040","No"
"0x6a120460fe9d4778f68bfb36251ccd2ec5713814","12,444,826,497.649532301100500144","No"
"0x600a9815c15c29de5fb087d0a58c56b48d5d5ca5","11,176,849,429.546283238074862059","No"
"0xeae21b0fb5057db34d607893c698d54a17693dd0","10,417,680,204.955830948545291057","No"
"0x64440444a1fd95d271438b7b0199ea5f1844661b","10,054,063,488.395676457249244986","No"
"0xf7776300a49c1bc27b80fd3b1e426f721494f919","10,000,000,000.842089294191462421","No"
"0x64809bdf6622856382c27a7cc73e8c8106d33c33","8,844,557,198.189585964739127732","No"
"0x8c2821f3efd492088830338ddad982ffecb2081e","8,556,095,594.746650629631978088","No"
"0xdbd296c51b1d32f5d8cc58cd6f8a5f70e6d92d33","7,366,239,677.405876655142347057","No"
"0x64f0d40a9dab3b3288782c91b168efb8531b5210","6,666,610,487.878653286042704547","No"
"0x58244ea236d2ff57c023a4028e228f77dc328894","6,302,535,812.10867135139476543","No"
"0x9979ca3f09ace14230d5c5883fc75e31e4693941","6,130,325,713.092248044904615176","No"
"0x76689ec1706693aa232c54045ee4cd9e8f130bde","5,701,610,265.905394073772750968","No"
"0x2d48bdcb10e90be038f8884de3330c7cce94365e","5,323,011,332.825068783788112068","No"
"0x24cfdf222f3d8a1e5e081b726866f0f580464fb0","5,118,326,131.954132606419577221","No"
"0x4b3ce25bf2d97e4d917b6d5d54efa29f1319b764","5,036,750,774.237845451716590877","No"
"0xa4bb69d37421b932707b242fa3061a72d107d326","4,675,016,808.864550430283065066","No"
"0x156e5776fbc254d985b3fc4ae4ce1cd3ed1c1e32","4,253,269,659.618287732088265184","No"
"0x84dcb706bd06fa67871a6572ca68737d3bbfe4a3","4,250,336,072.826682689580144822","No"
"0xbbdc8e177b6ee005a7b858866cedd1589540d3b8","4,128,838,021.523533186096252035","No"
"0x6b5c3d423e7ccd2a45bfd9996e1353e3d4313319","3,947,360,964.682285351059540082","No"
"0x70a1994c3c10ec28f31b13c962a6f8d2a791be9f","3,934,607,650","No"
"0xe528d09b200349403ed4f469d39341f74835b4fe","3,872,078,286.516583638184826341","No"
"0x8d586f380846dca988cb3b345231af02f989c411","3,867,938,463.595359611344257597","No"
"0x69ae440265786d7df8d651a7ee2d5f6c2f99fbd2","3,608,829,225.899425592190848404","No"
"0xa4042312c7b4b9d54daf8172a10516c7c8f650a7","3,501,815,762.046341184944417649","No"
"0xbc4bfa3119b488ce3d5516c3857fb59cf8549d5d","3,427,181,116.986660095119014482","No"
"0x5f902eb3902c519ae148a85837cbd8ff63241d12","3,332,282,463.556365322926311191","No"
"0x66d8eaa495d20ba36cd0ee471079707d714a7c19","3,300,000,000","No"
"0x7d2ba9ae2328db82d2790c885bc47db0b6786c17","3,228,874,282.481796707529072568","No"
"0xe93c2fe3c5473c52099fb2121b8ae62cd7e68cef","3,165,965,362.250331128668592155","No"
"0xf74cc3ddaabb03b73c999bf05741181be3e439c4","3,144,416,994.551721364076781927","No"
"0xd79ae46e3b634a51bc2d0b9613aa01e74579acac","3,137,204,103.867961928300633475","No"
"0x7ae7188d2175322db95a1323dfd53ad38583c70d","3,000,000,000","No"
"0x4c55c41bd839b3552fb2abecacfdf4a5d2879cb9","2,999,830,172.561883155220403076","No"
"0x1e931d57555942b8bfb580784769585dd0c8fb5f","2,947,171,076.688889","No"
"0x57dc4a5d290275b953ab837ff74115ee9ad07e06","2,939,808,362.63","No"
"0xee650f5599bd48f27b29b254a4c45322a755c6b4","2,882,274,843.554287652223773717","No"
"0xf3ca7683ad63e800d8a0311f3fb203c1618f0f5b","2,877,925,873.255597812549112602","No"
"0x60b0224bebd002e2cf9ef7d505dcd07ea5bd1156","2,825,496,464.181747402136625842","No"
"0xdaac9faf9eb748a5bfbfd9b0d1383e9ada4ccecf","2,823,501,894.593317532134519153","No"
"0x303c223e6acafe204800fea771842cbb421b51d0","2,815,703,498.978464810731765397","No"
"0xac0a18006825262a8bdcf9106cf364d62fda183d","2,753,765,019.038561401526797956","No"
"0x527c973ec0ceb832c259ed8d1102e2503d0194a2","2,751,143,167.506623790667098013","No"
"0xf7aee0c196c4efcb7a16b5e17cde8e6d5d0d01f3","2,700,000,000","No"
"0x3a26044f8eb44a54d2d310f1d22f976f60a977a6","2,695,612,665.609627609222443633","No"
"0xbfb148ab6678bbf4463590a98f5a87a2d094eda9","2,660,836,506.341603170663458952","No"
"0x6301add4fb128de9778b8651a2a9278b86761423","2,641,749,989.154594315035019081","No"
"0x220179548474b2c2919942ebf00446494243ab55","2,583,349,568.442178835544142701","No"
"0xebcea89d0e3beb500449f7216bb0f456d1fd93cb","2,527,505,893.768024628886765568","No"
"0xe3cadc86b296e57c55dcb7c9e90936e7517237b3","2,481,661,801.949603567578030076","No"
"0x7c4c62f16f0bc4d86efbf9f957eec7a743a36421","2,450,661,780","No"
"0x97b90fbc8904f861f76cb06bfa0a465b72c5e662","2,448,848,118.69160351873877603","No"
"0x8ff55b93a1ed400e8bc44dc0026459209700a704","2,316,656,851.209331669702711918","No"
"0x308bff328370fc4a9683ab9fcd79a21be6dc5ee4","2,300,000,000","No"
"0xafbc482c5f092d317f5ce2cc7b7003d8a061e380","2,230,218,245.756445447521427382","No"
"0x22fb01bc86f522d1b78ecc73f1ea039e5db0e405","2,220,229,988.197105084761292223","No"
"0x23b4cd421b7cb7d274689b2a7c100baf8546941b","2,205,557,805.193393229631091947","No"
"0x1418ab54752826a82698a23e22ebbf7e678cfe47","2,176,253,202.078325000141397297","No"
"0xf549c043c5f7982fd701c7bd24e408afff925a9f","2,143,140,654.92","No"
"0x82d9df300b327efbd16637d311ae2fcd97df1512","2,135,259,212.996588776984848374","No"
"0x876dad703db89ba7fae71be3c46b909c6a741406","2,100,000,000","No"
"0x99d09ab186be7213bfe085d737d394a044280da9","2,090,157,673.35537816458483756","No"
"0x4530d87dfbdd0a59c499249f08c67dc8b4bd6ee1","2,031,985,772.11064537298669116","No"
"0xbc498d5ae47412d78746540256663fe455069d8c","2,030,538,146.714320049396499907","No"
"0xc32eb36f886f638fffd836df44c124074cfe3584","2,027,295,214","No"
"0xe58bc0de746eb83efaef6eebd55e9ecced6346fa","2,000,053,798.879949535330127639","No"
"0x9e95586ef59afccc2b7e42d00b2aa386bd960562","2,000,003,171.42491327756979944","No"
"0xf3c8d744a34b74feca1b740b025ae124b42d56ea","2,000,000,000.912378253703263249","No"
"0xd6bf834c197788a1d16001d65bc6eff4be331369","2,000,000,000","No"
"0x48511f05704bd809e8b48979214bdda723eebb09","2,000,000,000","No"
"0x2f14a4abc940049de389973c8d4ad022712dafc6","1,971,622,708.990919556036335368","No"
"0x71ac01152cf805fab95f9d874c542fd35be2c913","1,953,772,596.823415485863673334","No"
"0x746b1d1e072b3fd59df6bba08c1bc5944cfffe64","1,940,620,363.729381110608899217","No"
"0x038bdee67c5776baffd8f10fca6c4bfc5c5372a6","1,927,050,566.215224808371954886","No"
"0x506be4f0e86a733226bfc206ee30f623f8cd8c00","1,913,395,937.426531127158523853","No"
"0x1ca0a84230d73a986681b22391c198ad5887903c","1,869,180,626.885331635140229165","No"
"0x85576f5c118cb39fdce496897258db4efbc8d261","1,835,583,091.597435556124914493","No"
"0x8d77fe66ef7b1f61ea9f5c31c28d58c6661679ae","1,802,695,368.416314865687330741","No"
"0x957e53f61da0156f8a4e8c9cf59372d50bd0c6b8","1,789,512,584.628482788290636893","No"
"0x7986dc43028c4a883484453f10bd67f410dfca74","1,690,748,936.757110769059770408","No"
"0x6189717673e1ed5da55080d0898c70f91d2784d0","1,667,020,600.948378286536245776","No"
"0xfb9e572f4ff820837a37b3337105a5394e69065c","1,632,481,310.172589909897783956","No"
"0x704c8c855765b4c053cc2dc02b3f318caf2ab732","1,626,325,793.109485068898420533","No"
"0x62872c62d5087294e4dd4d47012e51e71ceb1745","1,618,467,758.724412451533456337","No"
"0x083fcbf9ad41b8738d204c48a768bba71654ddd2","1,541,399,094.450538091994170854","No"
"0xc9f1eb90b08dd435291a48a2bd967418214484aa","1,540,611,248.327013551177018051","No"
"0x3e8c7e7bb012f349d3166f8cbdb2767cff4df732","1,528,756,843.921191295167101485","No"
"0x3c093d2b37f37273fd3abb455ee47e26a368598e","1,510,262,974.503048930153737822","No"
"0x77e09ab2cb69d1742a58770792e471450613fbbd","1,504,109,143.945131151201491085","No"
"0x259f962e77262ee8d97cc6a112d0e0321323ea0d","1,500,000,000","No"
"0x54583815f9fc18e50277e2149ea73a3ec2c5fcde","1,498,583,133.94330166692010598","No"
"0x2d05f736cbfef5f1e84b097e09d48575e8995848","1,490,683,821.788049223827711078","No"
"0xd255801d7a294e4ceac416a3caf5791275d645f5","1,453,743,453.590831371214464293","No"
"0xad55df79fc48258e526beca6648b157941320a1c","1,451,365,271.282722066066912206","No"
"0xd84e11bee5d555ccd905817cb8cbbd5b6e6c4f0d","1,446,659,955.884926522562040689","No"
"0xa9dded3f4861aad6ec5ada6be8e30ff4d88eb35a","1,437,223,631.589176110651421635","No"
"0x6a6357f3a4ef453c5af692a96d16cb17069123dd","1,405,746,643.388199316506823433","No"
"0xc6ed1b47b0a5542cea9f8a80c513197bfabb6fef","1,388,857,812.757718397527548643","No"
"0xd32bf6847fbe09a68b8b600c9aa5f2ec36f55105","1,378,672,634.549909663449975072","No"
"0xf38861eac724d841a729ad4f2ec18e8d72c8c560","1,369,707,398.935953131508564897","No"
"0xdcc7a6a4d0631f0801b9f9d87ab5572ea8ec6a7f","1,366,135,184.445904098292408698","No"
"0xfd7ef248551016e102c5bb46ef075c637bf95825","1,357,028,308.482103921747389285","No"
"0xc2297f80b89510e4d52de998bbd5a1954e7fbae4","1,356,607,424.332979460781159207","No"
"0x3b82b31bbe0dc3fe0f13d17f9a4d0455ef562e06","1,352,035,878.249067421212768589","No"
"0x063c78e4a9b448b29de361370ec97b1faf144c58","1,330,954,682.949038950999316715","No"
"0xe3b3549e1fef0ade0d5787d8c6fb9fd582a7e41f","1,322,192,092.46914960396618135","No"
"0x3041cf296fb15907055b631ae27fed011a5d3a38","1,313,770,635.183894087688969412","No"
"0xd2fc8629c13dfce97b35e32a4c62a5fee3ceb962","1,312,087,750.432573978449296237","No"
"0xc82659501a30b5fedcbcf80852f261bf958b8a77","1,311,398,017.4101716750898853","No"
"0x694479b55b6fd30b3a05d67cfc5b77eff6bfdc3a","1,300,000,000","No"
"0xaa234c136dad85c093cc8afc987c5b0c43d10b08","1,297,874,724.922745065262124603","No"
"0xe94560aa36e16c2ce91aa989fd46642b44860397","1,287,832,338.492557389825066044","No"
"0x0ca0243ab14c76b4634ab4271cb56b0e5abf9ef3","1,279,426,692.472601132917170925","No"
